lat,lng,license,time,model,engine,chassis
15.4951516,73.8258916,ADTEST2,2018-09-11T10:11:40+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:11:10+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:10:40+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:10:10+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49506,73.8257683,ADTEST2,2018-09-11T10:09:40+05:30,TOYOTA,1HQ0039202,606F30-98714
15.494985,73.8257199,ADTEST2,2018-09-11T10:09:10+05:30,TOYOTA,1HQ0039202,606F30-98714
15.494985,73.8257199,ADTEST2,2018-09-11T10:08:19+05:30,TOYOTA,1HQ0039202,606F30-98714
15.494985,73.8257199,ADTEST2,2018-09-11T10:08:09+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4952883,73.8256283,ADTEST2,2018-09-11T10:07:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4964866,73.82525,ADTEST2,2018-09-11T10:07:22+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4972716,73.8266183,ADTEST2,2018-09-11T10:06:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4972316,73.82781,ADTEST2,2018-09-11T10:06:22+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4982883,73.8286683,ADTEST2,2018-09-11T10:05:52+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:05:22+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:05:09+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:05:06+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:04:56+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:04:50+05:30,TOYOTA,1HQ0039202,606F30-98714
15.499095,73.82915,ADTEST2,2018-09-11T10:04:48+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49939,73.8292416,ADTEST2,2018-09-11T10:04:32+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5000466,73.8297266,ADTEST2,2018-09-11T10:04:02+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5004449,73.830595,ADTEST2,2018-09-11T10:03:32+05:30,TOYOTA,1HQ0039202,606F30-98714
15.5002566,73.8315166,ADTEST2,2018-09-11T10:03:02+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4997533,73.8336566,ADTEST2,2018-09-11T10:02:32+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49938,73.8363499,ADTEST2,2018-09-11T10:02:02+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4985716,73.8379316,ADTEST2,2018-09-11T10:01:32+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4958933,73.8387633,ADTEST2,2018-09-11T10:01:02+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49613,73.837995,ADTEST2,2018-09-11T10:00:32+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49613,73.837995,ADTEST2,2018-09-11T10:00:30+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4962016,73.8379683,ADTEST2,2018-09-11T10:00:20+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4981649,73.8376433,ADTEST2,2018-09-11T09:59:50+05:30,TOYOTA,1HQ0039202,606F30-98714
